ophit_opch,pd_type,pds_box,sensible_to_vuv,sensible_to_vis,opdet_tpc,sampling,ophit_opdet_x,ophit_opdet_y,ophit_opdet_z,ophit_opdet
0,xarapuca_vis,0,False,True,0,daphne,-213.75,-135,20.2542,0
1,xarapuca_vis,1,False,True,1,daphne,213.75,-135,20.2542,1
2,xarapuca_vis,2,False,True,0,daphne,-213.75,0,20.2542,2
3,xarapuca_vis,3,False,True,1,daphne,213.75,0,20.2542,3
4,xarapuca_vis,4,False,True,0,daphne,-213.75,135,20.2542,4
5,xarapuca_vis,5,False,True,1,daphne,213.75,135,20.2542,5
6,pmt_coated,0,True,True,0,,-213.4,-175,27.874200000000002,6
7,pmt_coated,1,True,True,1,,213.4,-175,27.874200000000002,7
8,pmt_coated,0,True,True,0,,-213.4,-95,27.874200000000002,8
9,pmt_coated,1,True,True,1,,213.4,-95,27.874200000000002,9
10,pmt_coated,2,True,True,0,,-213.4,-40,27.874200000000002,10
11,pmt_coated,3,True,True,1,,213.4,-40,27.874200000000002,11
12,pmt_coated,2,True,True,0,,-213.4,40,27.874200000000002,12
13,pmt_coated,3,True,True,1,,213.4,40,27.874200000000002,13
14,pmt_coated,4,True,True,0,,-213.4,95,27.874200000000002,14
15,pmt_coated,5,True,True,1,,213.4,95,27.874200000000002,15
16,pmt_coated,4,True,True,0,,-213.4,175,27.874200000000002,16
17,pmt_coated,5,True,True,1,,213.4,175,27.874200000000002,17
18,xarapuca_vuv,0,True,False,0,daphne,-213.75,-135,35.4942,18
19,xarapuca_vuv,1,True,False,1,daphne,213.75,-135,35.4942,19
20,xarapuca_vuv,2,True,False,0,daphne,-213.75,0,35.4942,20
21,xarapuca_vuv,3,True,False,1,daphne,213.75,0,35.4942,21
22,xarapuca_vuv,4,True,False,0,daphne,-213.75,135,35.4942,22
23,xarapuca_vuv,5,True,False,1,daphne,213.75,135,35.4942,23
24,xarapuca_vis,0,False,True,0,daphne,-213.75,-175,50.2542,24
25,xarapuca_vis,1,False,True,1,daphne,213.75,-175,50.2542,25
26,xarapuca_vis,0,False,True,0,daphne,-213.75,-95,50.2542,26
27,xarapuca_vis,1,False,True,1,daphne,213.75,-95,50.2542,27
28,xarapuca_vis,2,False,True,0,daphne,-213.75,-40,50.2542,28
29,xarapuca_vis,3,False,True,1,daphne,213.75,-40,50.2542,29
30,xarapuca_vis,2,False,True,0,daphne,-213.75,40,50.2542,30
31,xarapuca_vis,3,False,True,1,daphne,213.75,40,50.2542,31
32,xarapuca_vis,4,False,True,0,daphne,-213.75,95,50.2542,32
33,xarapuca_vis,5,False,True,1,daphne,213.75,95,50.2542,33
34,xarapuca_vis,4,False,True,0,daphne,-213.75,175,50.2542,34
35,xarapuca_vis,5,False,True,1,daphne,213.75,175,50.2542,35
